key,zh,zh-HK,en,ja,ko,de
文件,文件,檔案,File,ファイル,파일,Datei
编辑,编辑,編輯,Edit,編集,편집,Bearbeiten
窗口,窗口,視窗,Window,ウィンドウ,창,Fenster
帮助,帮助,說明,Help,ヘルプ,도움말,Hilfe
数据管理,数据管理,資料管理,Data Management,データ管理,데이터 관리,Datenverwaltung
镜头编辑,镜头编辑,鏡頭編輯,Shot Editing,ショット編集,샷 편집,Szenenbearbeitung
游戏系统,游戏系统,遊戲系統,Game System,ゲームシステム,게임 시스템,Spielesystem
从头播放,从头播放,從頭開始播放,Play from Start,最初から再生,처음부터 재생,Von Anfang abspielen
当前镜头,当前镜头,目前鏡頭,Current Shot,現在のショット,현재 샷,Aktuelle Szene
指定镜头,指定镜头,指定鏡頭,Specify Shot,指定ショット,특정 샷 지정,Szene angeben
窗口置顶,窗口置顶,視窗置頂,Window Always on Top,ウィンドウを最前面に,창 항상 위에 고정,Immer im Vordergrund
镜头管理,镜头管理,鏡頭管理,Shot Management,ショット管理,샷 관리,Szenenverwaltung
打开,打开,開啟,Open,開く,열기,Öffnen
镜头ID,镜头ID,鏡頭ID,Shot ID,ショットID,샷 ID,Szene-ID
输出演员,输出演员,輸出演員,Actor,出演者,출연 배우,Schauspieler
角色,角色,角色,Character ,キャラクター,캐릭터,Figur
输入文本,输入文本,輸入文字,Input Text,テキスト入力,텍스트 입력,Text eingeben
设置,设置,設定,Settings,設定,설정,Einstellungen
角色,角色,角色,Character,キャラクター,캐릭터,Charakter
场景,场景,場景,Scene,シーン,장면,Szene
镜头,镜头,鏡頭,Shot,ショット,샷,Einstellung
游戏名称,游戏名称,遊戲名稱,Game Title,ゲームタイトル,게임 제목,Spieltitel
游戏简介,游戏简介,遊戲簡介,Game Description,ゲーム説明,게임 설명,Spielbeschreibung
版本号,版本号,版本編號,Version,バージョン,버전,Version